features,label,directory
"[0.016242053300155695, 0.03605318867445178, 0.0, 0.05979469414692774, 0.46924503896302994, 1.0, 0.9837234323898576, 0.9618180912929498, 0.9628150592913789, 0.9773445230705622, 0.979051199852244, 0.9970977600551161, 1317.6662833121577, 67.26246531585042, 34.8754705921819, 20.095176255834964, 16.845549434696643, 11.886611815331674, 11.312196331089883, 8.152186796644195, 7.365349318840147, 7.237361746467931, 5.994443193454398, 6.147858297746547, 4.53068673012403, 729.0917647588057, 67.78002020604782, 33.50238071850718, 21.737958822302993, 16.151906209351267, 12.698516831444126, 10.820020562729756, 9.272644058518512, 7.679747034086495, 7.238274721664064, 6.263492774438053, 5.392960251716836, 5.275111773022569]",bitter,EUReCA - dietary eeg
"[0.0, 0.02615707245576077, 0.00922907981623463, 0.013800474928178891, 0.4492195354704075, 1.0, 0.9683905771881669, 0.9907011450259106, 0.9795809408120808, 0.9909664020335746, 0.9776709238272938, 0.9971514875536553, 1319.3900220348794, 66.13343276194996, 34.48394051712815, 20.314425349850985, 15.927757053492035, 12.575398595094317, 10.47796031570116, 8.432871092265785, 7.65144990470857, 7.545191421630814, 6.28405467528273, 5.5425671653543915, 5.030355159400466, 729.4214170367492, 67.45685411833938, 33.38540746371104, 21.600791104087698, 16.23988433309374, 13.131437427372726, 10.90455378265838, 8.647787439081053, 8.274761869101361, 7.019889298005108, 5.858984094057281, 6.143872310803308, 5.064363647881359]",bitter,EUReCA - dietary eeg
"[0.0, 0.027487505718788916, 0.03251047020862746, 0.09674946695277908, 0.5471376889683435, 1.0, 0.9964946904934167, 0.9878694060977848, 0.9912530212204408, 0.9970499449197647, 0.9997414999954034, 0.9955114036879756, 1315.8022094218188, 66.79447221867838, 34.4110342757825, 21.25216498493748, 16.629628945262255, 13.146330832033623, 10.725369618521434, 8.36349031902267, 7.819040065394605, 7.56256283527556, 6.463259183509653, 6.0131018103952005, 4.32234864300324, 729.2946797189664, 67.31807038733899, 33.22969144214376, 22.08599671071825, 16.055969936426237, 13.141282395551503, 11.064755126391287, 8.93346855238963, 7.8225941541361035, 7.116882764115806, 5.821044892412667, 6.084099846649688, 5.394061785489313]",bitter,EUReCA - dietary eeg
"[0.0341376375706517, 0.016400002179904345, 0.0, 0.09899039576938684, 0.524867063518693, 1.0, 0.996654900574206, 0.9874522397828038, 0.9281495761466382, 0.9945380007046126, 0.999428977129702, 0.9821171809570274, 1317.5030219195512, 66.35247803731568, 33.5320009880641, 21.47551691344532, 16.774126431866797, 12.597055395146352, 10.322164797822465, 9.523852743690998, 8.331145786673721, 8.036540027271489, 5.206853605023073, 5.465350672785135, 4.881694294260029, 728.973284723415, 67.50469550535823, 33.75006879590492, 21.95486827141211, 15.706087977225366, 13.179173958499694, 10.737642248467719, 8.895094525110125, 8.006216651035427, 6.890227044848952, 6.76386458124173, 5.53056083489734, 5.228828177218205]",bitter,EUReCA - dietary eeg
"[0.04581430563051145, 0.029432413734470756, 0.0, 0.07905360070768915, 0.444862866561774, 1.0, 0.9914969407255371, 0.9898825782100378, 0.9798849408713795, 0.9708011222443865, 0.9747157597636564, 0.9941628597883682, 1317.8879785716567, 66.23612619218804, 33.017951570083795, 21.615682014698365, 16.92254753712951, 13.12845770358599, 11.165317055020362, 8.945919077869206, 8.045726376359305, 7.706790100873248, 5.249774257149861, 6.582542450462261, 5.22078639084544, 728.7676239869601, 67.96266999194768, 33.07494278427849, 22.14708115652509, 15.981484432238297, 12.995146026157522, 11.169980001573265, 8.519970226940856, 8.285937389422202, 6.935210245261046, 5.997737374051848, 5.997322178495818, 5.1338448552879345]",bitter,EUReCA - dietary eeg
"[0.025138856038988536, 0.022039378905031624, 0.0, 0.04450957304364114, 0.3711607556587368, 1.0, 0.9955215759686614, 0.9809322903530726, 0.9662807745727866, 0.9114981844765863, 0.9930615674274172, 0.9971702930723533, 1316.9016233801763, 66.67287832455762, 33.31226802069868, 21.465241490971053, 16.093887202274402, 12.891746013451478, 10.974621749692176, 9.732285908714765, 7.1306146532405865, 7.342453937179124, 6.9663914797477755, 5.5280123164192165, 4.900850836556639, 729.2556405147772, 67.45413010190455, 33.123066073497895, 22.064299389020178, 16.09063938251868, 13.035093542951032, 10.562745579486728, 9.208468892717775, 7.934096044782478, 7.520106135186822, 5.823967123088197, 5.311273458397393, 5.259464874747941]",bitter,EUReCA - dietary eeg
"[0.030868458064716817, 0.042489627270396735, 0.0, 0.08511083762646446, 0.39368906996889264, 1.0, 0.9985501536194982, 0.9980786877806462, 0.9693831061525536, 0.9249487801322424, 0.9983300192956042, 0.9955180648628507, 1317.2511425030682, 66.35315724609788, 33.44475377996215, 21.83541932589955, 16.645352347613517, 12.70486722956192, 9.662520588567043, 9.891505146215767, 7.68796950896137, 7.028070282520335, 6.010234690122099, 5.576013333960477, 5.118187230384521, 729.0187004320854, 67.79556989624713, 33.06877127314924, 22.15159843613644, 16.147780196598323, 12.653483686933473, 10.597545411095929, 9.159923528771273, 7.890880490964782, 7.388816706636956, 6.150713646293792, 5.77434866046309, 4.8387989315966085]",bitter,EUReCA - dietary eeg
"[0.0, 0.03374057116318659, 0.008983279434652715, 0.05178630480616939, 0.3269972759151055, 1.0, 0.98653314657964, 0.9990149615587547, 0.9487468254309166, 0.9786307621969801, 0.9999812601255627, 0.9963391295843053, 1318.1595331713463, 65.58584562152272, 33.69904573905682, 21.750052192023247, 16.266712415726623, 13.099560002842283, 12.028714831729497, 9.504971114330253, 6.2565478019274305, 6.749923514673543, 6.53719447576475, 5.164725735105949, 4.695093127116808, 729.2583385346466, 67.78096292887894, 33.17633467567695, 21.84690320485067, 16.72024062702838, 12.320282487236671, 10.596075483396111, 9.528577566507177, 7.634465339157902, 6.846178311251117, 6.570724468754286, 5.830467011848786, 4.798062392662089]",bitter,EUReCA - dietary eeg
"[0.0, 0.029141312708984922, 0.02106629124764718, 0.10255478027964657, 0.41371810616061644, 1.0, 0.9973180086894071, 0.9934069369473804, 0.9198138439755132, 0.9909673541249598, 0.9810301445885261, 0.9915113155433551, 1319.911903245684, 65.92604478963781, 31.841611200529925, 22.46114538223862, 15.427227685923711, 13.647261281470428, 9.835959518823019, 9.221748309295233, 8.447420642567446, 8.331331673103875, 5.189802403505042, 5.10656356717627, 5.14254076649863, 729.2820623458682, 67.35942044745545, 33.44221374602884, 22.045256026931693, 16.0414224508865, 13.084543424754177, 10.374512922831158, 9.23606066348077, 7.980105744027502, 7.376026939955736, 5.864751105336932, 5.5268538756095165, 5.433832978209221]",bitter,EUReCA - dietary eeg
"[0.0, 0.0026076436921367583, 0.0037040692712925084, 0.0524510841331475, 0.4749921172398511, 1.0, 0.9947976689500426, 0.9674119532635004, 0.801074959303946, 0.9743832865213267, 0.9996988364438661, 0.9978161255938538, 1318.682517073475, 67.87928415414567, 31.708029666894447, 21.306489140153474, 16.206473320267836, 11.770649253549811, 11.357380207245818, 8.368759401754858, 7.59156173861464, 7.826850787325089, 6.104350015109653, 5.650387703564546, 5.758768165332742, 728.9919754948507, 68.06252252436497, 32.67883031847897, 22.106008720211317, 15.92421271030041, 13.191837096547331, 10.669369296325334, 9.016350169061703, 7.95322630960921, 6.933855495161598, 6.2898694276747635, 5.75339615961671, 5.149111483466806]",bitter,EUReCA - dietary eeg
