Time:250Hz,Epoch,FP1,FP2,Event Id,Event Date,Event Duration
1.1799999981,9,-49289.0000000000,292851.0000000000,,,
1.1839999980,9,-49344.0000000000,293565.0000000000,,,
1.1879999980,9,-49538.0000000000,294334.0000000000,,,
1.1919999979,9,-50701.0000000000,295168.0000000000,,,
1.1959999981,9,-48034.0000000000,295914.0000000000,,,
1.1999999981,9,-49796.0000000000,296637.0000000000,,,
1.2039999980,9,-48511.0000000000,297378.0000000000,,,
1.2079999980,9,-48239.0000000000,298201.0000000000,,,
1.2119999980,9,-48455.0000000000,298979.0000000000,,,
1.2159999979,9,-48296.0000000000,299687.0000000000,,,
1.2199999981,9,-49309.0000000000,300424.0000000000,,,
1.2239999981,9,-46960.0000000000,301219.0000000000,,,
1.2279999980,9,-47782.0000000000,301996.0000000000,,,
1.2319999980,9,-47441.0000000000,302710.0000000000,,,
1.2359999979,9,-47623.0000000000,303427.0000000000,,,
1.2399999981,9,-48966.0000000000,304233.0000000000,,,
1.2439999981,9,-47301.0000000000,304987.0000000000,,,
1.2479999980,9,-48400.0000000000,305739.0000000000,,,
1.2519999980,9,-49426.0000000000,306445.0000000000,,,
1.2559999980,9,-48954.0000000000,307221.0000000000,,,
1.2599999979,9,-48685.0000000000,308022.0000000000,,,
1.2639999981,9,-47418.0000000000,308743.0000000000,,,
1.2679999981,9,-48940.0000000000,309439.0000000000,,,
1.2719999980,9,-48015.0000000000,310203.0000000000,,,
1.2759999980,9,-49638.0000000000,311024.0000000000,,,
1.2799999979,10,-48969.0000000000,311748.0000000000,,,
1.2839999979,10,-48391.0000000000,312439.0000000000,,,
1.2879999978,10,-48870.0000000000,313189.0000000000,,,
1.2919999978,10,-50559.0000000000,314009.0000000000,,,
1.2959999978,10,-49595.0000000000,314744.0000000000,,,
1.2999999977,10,-49032.0000000000,315432.0000000000,,,
1.3039999979,10,-50315.0000000000,316170.0000000000,,,
1.3079999979,10,-52073.0000000000,316992.0000000000,,,
1.3119999978,10,-50113.0000000000,317722.0000000000,,,
1.3159999978,10,-50625.0000000000,318428.0000000000,,,
1.3199999977,10,-50181.0000000000,319139.0000000000,,,
1.3239999979,10,-50626.0000000000,319933.0000000000,,,
1.3279999979,10,-51076.0000000000,320707.0000000000,,,
1.3319999978,10,-51778.0000000000,321417.0000000000,,,
1.3359999978,10,-49769.0000000000,322090.0000000000,,,
1.3399999978,10,-49616.0000000000,322868.0000000000,,,
1.3439999977,10,-50281.0000000000,323648.0000000000,,,
1.3479999979,10,-49485.0000000000,324353.0000000000,,,
1.3519999979,10,-51511.0000000000,325056.0000000000,,,
1.3559999978,10,-50533.0000000000,325817.0000000000,,,
1.3599999978,10,-51725.0000000000,326613.0000000000,,,
1.3639999977,10,-51148.0000000000,327328.0000000000,,,
1.3679999979,10,-51008.0000000000,328006.0000000000,,,
1.3719999979,10,-50949.0000000000,328759.0000000000,,,
1.3759999978,10,-51015.0000000000,329555.0000000000,,,
1.3799999978,10,-51151.0000000000,330275.0000000000,,,
1.3839999977,10,-50290.0000000000,330948.0000000000,,,
1.3879999977,10,-50954.0000000000,331684.0000000000,,,
1.3919999979,10,-51661.0000000000,332474.0000000000,,,
1.3959999979,10,-51612.0000000000,333209.0000000000,,,
1.3999999978,10,-50206.0000000000,333866.0000000000,,,
1.4039999978,10,-51354.0000000000,334580.0000000000,,,
1.4079999977,11,-52765.0000000000,335365.0000000000,,,
1.4119999977,11,-50363.0000000000,336076.0000000000,,,
1.4159999976,11,-51001.0000000000,336756.0000000000,,,
1.4199999976,11,-51576.0000000000,337450.0000000000,,,
1.4239999976,11,-50530.0000000000,338211.0000000000,,,
1.4279999975,11,-49870.0000000000,338945.0000000000,,,
1.4319999977,11,-50993.0000000000,339639.0000000000,,,
1.4359999977,11,-50987.0000000000,340303.0000000000,,,
1.4399999976,11,-50514.0000000000,341054.0000000000,,,
1.4439999976,11,-51124.0000000000,341815.0000000000,,,
1.4479999975,11,-50775.0000000000,342492.0000000000,,,
1.4519999977,11,-50162.0000000000,343137.0000000000,,,
1.4559999977,11,-48948.0000000000,343855.0000000000,,,
1.4599999976,11,-50133.0000000000,344610.0000000000,,,
1.4639999976,11,-48392.0000000000,345284.0000000000,,,
1.4679999975,11,-48943.0000000000,345930.0000000000,,,
1.4719999975,11,-51979.0000000000,346672.0000000000,,,
1.4759999977,11,-50323.0000000000,347406.0000000000,,,
1.4799999977,11,-50057.0000000000,348088.0000000000,,,
1.4839999976,11,-49895.0000000000,348731.0000000000,,,
1.4879999976,11,-51013.0000000000,349430.0000000000,,,
1.4919999975,11,-50560.0000000000,350182.0000000000,,,
1.4959999977,11,-50323.0000000000,350875.0000000000,,,
1.4999999977,11,-50530.0000000000,351509.0000000000,,,
1.5039999976,11,-50229.0000000000,352183.0000000000,,,
1.5079999976,11,-50842.0000000000,352937.0000000000,,,
1.5119999975,11,-50620.0000000000,353641.0000000000,,,
1.5159999975,11,-50463.0000000000,354286.0000000000,,,
1.5199999977,11,-51862.0000000000,354963.0000000000,,,
1.5239999976,11,-49576.0000000000,355682.0000000000,,,
1.5279999976,11,-49433.0000000000,356404.0000000000,,,
1.5319999976,11,-50849.0000000000,357073.0000000000,,,
1.5359999975,12,-51216.0000000000,357721.0000000000,,,
1.5399999975,12,-51155.0000000000,358450.0000000000,,,
1.5439999974,12,-50148.0000000000,359171.0000000000,,,
1.5479999974,12,-50676.0000000000,359836.0000000000,,,
1.5519999973,12,-50287.0000000000,360464.0000000000,,,
1.5559999973,12,-50870.0000000000,361179.0000000000,,,
1.5599999975,12,-49479.0000000000,361895.0000000000,,,
1.5639999975,12,-48966.0000000000,362558.0000000000,,,
1.5679999974,12,-50927.0000000000,363195.0000000000,,,
1.5719999974,12,-51116.0000000000,363888.0000000000,,,
1.5759999973,12,-49330.0000000000,364598.0000000000,,,
1.5799999975,12,-50746.0000000000,365270.0000000000,,,
1.5839999975,12,-51155.0000000000,365891.0000000000,,,
1.5879999974,12,-51916.0000000000,366560.0000000000,,,
1.5919999974,12,-50267.0000000000,367274.0000000000,,,
1.5959999973,12,-51909.0000000000,367954.0000000000,,,
1.5999999973,12,-50619.0000000000,368554.0000000000,,,
1.6039999975,12,-50498.0000000000,369191.0000000000,,,
1.6079999974,12,-49749.0000000000,369906.0000000000,,,
1.6119999974,12,-49175.0000000000,370580.0000000000,,,
1.6159999974,12,-50358.0000000000,371211.0000000000,,,
1.6199999973,12,-50107.0000000000,371837.0000000000,,,
1.6239999975,12,-50520.0000000000,372556.0000000000,,,
